Brand,Model,Color,Seater,Rating,Warranty(Months),Warranty(Years),Original Cost,Discount(%),Discount Amount,Final Price,EMI,Shipping Days,Price Category
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,65999,21,14000,51999,2497,2,Mid-Range
Casacraft from Pepperfry,Norton,Grey,1,5.0,36,3,42999,26,11000,31999,1537,2,Mid-Range
Casacraft from Pepperfry,Norton,Grey,2,4.5,36,3,65999,21,14000,51999,2497,2,Mid-Range
Casacraft from Pepperfry,Norton,Beige,2,4.5,36,3,65999,21,14000,51999,2497,3,Mid-Range
Green Soul,Shangri,Grey,1,3.5,36,3,60000,48,29010,30990,1488,3,Mid-Range
Green Soul,Shangri,Brown,1,3.5,36,3,65000,51,33010,31990,1536,3,Mid-Range
Green Soul,Comfy,Brown,1,4.5,12,1,21990,14,3000,18990,912,3,Budget
Mintwud from Pepperfry,Yamamoto,Grey,1,5.0,36,3,37899,34,12900,24999,1201,3,Budget
Casacraft from Pepperfry,Norton,Grey,1,5.0,36,3,58999,22,13000,45999,2209,3,Mid-Range
Royaloak,Regal,Brown,3,4.5,60,5,170000,58,98000,72000,3457,3,Premium
Royaloak,Nexus,Brown,2,4.5,60,5,135000,57,77000,58000,2785,3,Mid-Range
Royaloak,Naples,Brown,2,4.5,12,1,133000,41,55000,78000,3746,3,Premium
Durian,Valerano,Brown,3,4.5,12,1,267400,40,106960,160440,7704,4,Luxury
Durian,Valerano,Brown,2,4.5,24,2,216000,40,86400,129600,6223,3,Premium
Nilkamal,Skelton,Brown,2,4.5,24,2,63000,54,34100,28900,1388,2,Budget
Royaloak,Georgia,Coffee,3,4.5,24,2,175000,55,97000,78000,3746,3,Premium
The Sleep Company,Luxe,Beige,1,4.5,12,1,47690,35,16691,30999,1489,2,Mid-Range
The Sleep Company,Luxe,Beige,1,4.5,12,1,55390,35,19391,35999,1729,2,Mid-Range
The Sleep Company,Luxe,Grey,1,4.5,36,3,47690,35,16691,30999,1489,2,Mid-Range
HomeTown,Enfield,Brown,3,4.5,36,3,185900,60,111900,74000,3553,2,Premium
HomeTown,Enfield,Brown,2,4.5,36,3,155900,64,100000,55900,2684,2,Mid-Range
Casacraft from Pepperfry,Brookhill,Beige,1,4.5,36,3,74999,25,19000,55999,2689,2,Mid-Range
Duroflex,Avalon,Brown,1,4.5,36,3,32999,29,9535,23464,1127,2,Budget
Duroflex,Avalon,Pink,1,5.0,36,3,41999,37,15400,26599,1278,2,Budget
Duroflex,Avalon,Red,1,5.0,12,1,33599,29,9660,23939,1150,2,Budget
Duroflex,Avalon,Orange,1,2.0,36,3,33599,29,9660,23939,1150,2,Budget
Duroflex,Avalon,Blue,1,4.5,36,3,33599,29,9660,23939,1150,2,Budget
Nilkamal,Matt,Blue,2,1.0,36,3,90900,66,60010,30890,1484,2,Mid-Range
Duroflex,Avalon,Red,1,4.5,36,3,26199,29,7580,18619,894,2,Budget
Star India,Square,Brown,3,4.5,12,1,128699,23,29700,98999,4754,2,Premium
Star India,Square,Brown,3,4.5,12,1,86999,17,15000,71999,3457,3,Premium
Star India,Neo,Black,1,4.5,12,1,67599,20,13600,53999,2593,3,Mid-Range
Royaloak,Milano,Brown,3,4.5,12,1,260000,42,110000,150000,7202,2,Premium
Royaloak,Milano,Brown,2,4.5,12,1,215000,42,90000,125000,6002,2,Premium
Star India,Felso,Olive,1,4.5,60,5,192171,32,61172,130999,6290,2,Premium
Interio By Godrej,Luster,Granite,1,4.5,36,3,235700,12,27910,207790,9977,2,Luxury
Casacraft from Pepperfry,Atlantis,Grey,1,4.5,12,1,114999,26,30000,84999,4082,2,Premium
Casacraft from Pepperfry,Montez,Beige,3,4.5,36,3,79999,26,21000,58999,2833,2,Mid-Range
Casacraft from Pepperfry,Montez,Green,1,4.5,36,3,109999,27,30000,79999,3841,2,Premium
Casacraft from Pepperfry,Montez,Beige,1,4.5,36,3,109999,27,30000,79999,3841,2,Premium
Woodsworth from Pepperfry,Antibes,Teak,3,4.5,36,3,81999,18,15000,66999,3217,2,Mid-Range
Casacraft from Pepperfry,Nelida,Brown,3,4.5,36,3,68999,16,11000,57999,2785,2,Mid-Range
Casacraft from Pepperfry,Larenzo,Pink,3,5.0,36,3,79999,25,20000,59999,2881,2,Mid-Range
Woodsworth from Pepperfry,Serena,Blue,1,4.5,36,3,72999,23,17000,55999,2689,2,Mid-Range
Woodsworth from Pepperfry,Serena,Blue,1,4.5,36,3,84999,24,20000,64999,3121,2,Mid-Range
Woodsworth from Pepperfry,Serena,Brown,1,4.5,36,3,72999,23,17000,55999,2689,2,Mid-Range
